ID,Labels
1,MISC-1-2
2,LOC-1
3,
4,
5,
6,
7,
8,
9,
10,PER-3-4-5
11,LOC-6
12,ORG-1
13,LOC-4 ORG-25
14,LOC-6 LOC-13
15,
16,
17,
18,PER-11
19,
20,LOC-1 MISC-3
21,ORG-1
22,LOC-1 MISC-4 LOC-7-8 ORG-16-17-18 ORG-20
23,PER-1-2 ORG-28
24,LOC-1
25,LOC-11
26,PER-1 LOC-4
27,LOC-1 LOC-3-4
28,MISC-1 PER-3-4 LOC-8-9 LOC-13 LOC-15
29,PER-4 MISC-12 LOC-18
30,LOC-2 MISC-4 MISC-12 PER-16 LOC-29 ORG-31-32-33 LOC-39 LOC-45-46
31,MISC-1 PER-3-4-5
32,LOC-1 ORG-7-8
33,PER-1 LOC-10 LOC-23 MISC-25
34,ORG-1-2 MISC-5
35,ORG-1-2
36,ORG-1-2 LOC-9 MISC-14 MISC-24-25
37,ORG-8-9 ORG-13-14-15-16-17 LOC-19 LOC-30 PER-35-36
38,PER-33
39,MISC-9
40,MISC-2 PER-5-6 LOC-12 LOC-18 ORG-31-32 MISC-34 LOC-40 ORG-43-44-45
41,MISC-22 ORG-29-30
42,ORG-23 MISC-29
43,MISC-4 LOC-13
44,LOC-1 LOC-14
45,ORG-3
46,ORG-1-2 LOC-4
47,PER-7-8 ORG-13-14 PER-16-17 MISC-29
48,MISC-2 PER-22-23
49,LOC-1 MISC-17-18 MISC-28 PER-31
50,PER-13-14
51,LOC-2 PER-20-21
52,PER-3-4 LOC-14 LOC-23
53,LOC-15 LOC-32
54,LOC-4 PER-6-7 MISC-13 MISC-16 PER-18-19 LOC-35
55,PER-6-7 PER-12 LOC-22
56,ORG-1-2 LOC-4
57,LOC-1 LOC-3
58,MISC-3
59,LOC-1 PER-3-4
60,LOC-3
61,LOC-1 LOC-3
62,MISC-3
63,LOC-1 LOC-4 PER-12-13 PER-18-19
64,
65,MISC-3
66,LOC-1 PER-3
67,LOC-2-3-4 LOC-16 LOC-20 MISC-25-26
68,MISC-2 PER-7-8 PER-19-20 LOC-23 PER-25-26 LOC-28 PER-30-31 PER-34-35
69,LOC-1 LOC-6 MISC-20
70,LOC-7 MISC-12 PER-19-20 MISC-38
71,LOC-3 MISC-8-9
72,ORG-1
73,LOC-2-3-4 PER-6 MISC-14-15 MISC-17
74,PER-3-4 PER-9-10 PER-15-16 PER-23-24
75,
76,
77,LOC-1 LOC-3
78,MISC-9-10 MISC-16
79,PER-2-3 LOC-5 PER-12-13-14 LOC-16 LOC-23
80,PER-2-3 LOC-5
81,PER-2-3-4 LOC-6
82,PER-2-3
83,PER-2-3 LOC-5
84,PER-2-3 LOC-5 PER-12-13 LOC-15
85,PER-2-3 PER-9-10 PER-16-17 LOC-19 PER-26-27 PER-33-34 LOC-36 PER-43-44 LOC-46
86,PER-2-3 PER-9-10 PER-16-17 LOC-19 PER-26-27 PER-33-34 LOC-36
87,PER-2-3 PER-9-10 PER-16-17 LOC-19 PER-26
88,LOC-3 MISC-7-8
89,ORG-1 LOC-3-4
90,LOC-1 LOC-4-5 MISC-13-14 MISC-16
91,
92,LOC-1-2 PER-4-5-6
93,LOC-1 PER-3-4 PER-9-10
94,
95,LOC-3 LOC-5
96,LOC-3
97,LOC-1 LOC-3 LOC-13
98,LOC-3 PER-8-9 LOC-13 PER-16-17 PER-20-21
99,
100,LOC-1 LOC-3
101,
102,LOC-12
103,LOC-2 LOC-4
104,PER-2-3 LOC-5 ORG-7
105,PER-2-3 LOC-5 ORG-7
106,PER-2-3 LOC-5 ORG-7
107,PER-2-3 LOC-5 ORG-7
108,PER-2-3 LOC-5 ORG-7
109,PER-2-3 LOC-5 ORG-7
110,PER-2-3 LOC-5 ORG-7
111,PER-2-3 LOC-5 ORG-7-8
112,PER-2-3 LOC-5 ORG-7
113,PER-2-3 LOC-5 ORG-7
114,
115,PER-2-3 LOC-5 ORG-7
116,PER-2-3 LOC-5 ORG-7
117,PER-2
118,PER-2-3 LOC-5
119,PER-2-3 LOC-5 ORG-7
120,PER-2
121,PER-2
122,PER-2 LOC-6 ORG-8
123,PER-2
124,PER-2
125,LOC-3-4-5
126,LOC-3
127,LOC-9 LOC-11
128,LOC-1
129,PER-1-2 PER-4-5 PER-7-8
130,PER-1-2 PER-4-5
131,PER-1-2 PER-5-6
132,PER-1-2
133,PER-1-2
134,PER-1-2
135,PER-1-2
136,ORG-1
137,PER-1-2 PER-4-5
138,PER-1-2
139,PER-1
140,
141,
142,PER-1-2-3 PER-5-6
143,PER-3-4 PER-7-8
144,PER-4-5 PER-8-9
145,PER-3-4
146,
147,PER-1-2 PER-4
148,PER-1-2 PER-4 ORG-6
149,PER-1-2 ORG-5
150,PER-1-2 ORG-4
151,PER-3 ORG-5
152,PER-1-2 PER-4 PER-6
153,PER-1-2 PER-4 PER-6
154,PER-1-2
155,PER-1-2 ORG-4
156,PER-1-2 ORG-5
157,PER-3 ORG-5
158,PER-1
159,
160,
161,
162,ORG-3 PER-6 PER-9
163,PER-3 PER-6 PER-9
164,
165,LOC-3
166,
167,
168,
169,
170,PER-2-3 LOC-5
171,PER-2-3 LOC-5
172,PER-2-3 LOC-5
173,PER-2 LOC-5
174,PER-2-3 LOC-5
175,PER-2-3 LOC-5
176,PER-2-3 LOC-5
177,PER-2-3 LOC-5
178,PER-2-3 LOC-5
179,
180,PER-3-4 PER-6-7 PER-9-10 ORG-12-13 PER-21 PER-23-24 PER-26-27 PER-29-30
181,PER-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-17 PER-19-20 PER-22-23 PER-25-26 LOC-28-29
182,LOC-1
183,
184,PER-2-3 LOC-5
185,PER-2-3 LOC-5
186,PER-2-3 LOC-5
187,PER-2-3 LOC-5
188,PER-2-3 LOC-5
189,PER-2-3 LOC-5
190,PER-2-3 LOC-5
191,PER-2-3 LOC-5
192,PER-2-3 LOC-5-6
193,PER-2-3 LOC-5
194,PER-2-3 LOC-5
195,PER-2-3 LOC-5
196,PER-2-3 LOC-5
197,
